YEAR,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,AR1,AR2,AR3,AR4,AR5,AR6,AR7,AR8,AR9,AR10,AR11,AR12
2005,0.2,21.5,4.5,4,128.5,226.1,242,111.5,156.7,38.1,11,15.8,0.000806452,0.065327381,0.02405914,0.007222222,0.418548387,1.4375,0.924596774,0.567204301,0.283194444,0.086424731,0.029861111,0.035752688
2006,3.8,0,6.4,33.2,56.4,259,298.7,50,36.3,1.3,32,1.2,0.008467742,0,0.016263441,0.131388889,0.145967742,0.793055556,1.215725806,0.215053763,0.22625,0.002553763,0.050694444,0.004032258
2007,6.2,5,6.7,11.5,152.4,42.1,26.3,418,28.5,49,31.6,0,0.01155914,0.011458333,0.011827957,0.03375,0.396102151,0.386944444,0.103763441,1.65766129,0.176527778,0.125403226,0.076111111,0
2008,8.2,11.6,15.4,20.5,56.1,393.5,269.2,61.4,86.2,26.6,39,0.4,0.021370968,0.023563218,0.020967742,0.04625,0.146236559,1.668194444,0.881586022,0.220698925,0.410277778,0.035887097,0.101666667,0.000537634
2009,0,0.5,22.3,18.2,8.1,91.6,92.1,507,72.7,45.3,8.6,0.6,0,0.001190476,0.040994624,0.102638889,0.020026882,0.435,0.272715054,1.257930108,0.188888889,0.066129032,0.012638889,0.00094086
2010,1.1,4.5,1.2,19.6,88.7,62.3,129.2,67.2,426.7,71.5,12.9,11.7,0.003225806,0.017410714,0.001747312,0.068472222,0.254569892,0.360138889,0.589784946,0.222849462,1.188611111,0.237903226,0.02,0.015725806
2011,4.6,2.7,6.1,23.6,56.3,181.8,106.5,172.7,40.5,19.1,118.9,24.6,0.013037634,0.005654762,0.011424731,0.041527778,0.144623656,0.546111111,0.732930108,0.496236559,0.099583333,0.076209677,0.244027778,0.056854839
2012,0.3,17.5,6.2,28,75.1,152.6,12.6,155.3,33.1,0.7,39.9,9.5,0.000806452,0.046695402,0.012096774,0.1575,0.383064516,1.160416667,0.073387097,1.020430108,0.076111111,0.002150538,0.065972222,0.026344086
2013,0.2,0.1,13.3,51.9,183.5,31.2,84.9,293.4,35.3,22.5,14,20.7,0.000403226,0.00014881,0.032392473,0.134027778,0.475806452,0.12375,0.252688172,1.034811828,0.131805556,0.031182796,0.023888889,0.066666667
2014,0,12.8,66.8,12.1,45.1,103.2,118.5,261.7,109.6,0,1.5,6.1,0,0.02514881,0.090725806,0.038055556,0.269489247,0.329305556,0.417069892,1.215994624,0.24125,0,0.002083333,0.019354839
2015,5,23.5,0,3.6,62.1,8.1,39.1,162.6,77.6,12,39.6,26.3,0.008467742,0.056994048,0,0.010138889,0.406317204,0.014444444,0.271236559,0.739112903,0.196111111,0.035483871,0.057083333,0.037768817
2016,78.8,20,29.7,49.1,44,139.6,162.2,110.1,262.7,74.1,55,0.8,0.246505376,0.035632184,0.109005376,0.254166667,0.131854839,0.534027778,0.425672043,0.577150538,1.528194444,0.351612903,0.08,0.002016129
2017,0,0,2.7,52.4,73.5,77.3,124.4,121.2,,,,,0,0,0.005913978,0.159027778,0.175672043,0.35875,0.384139785,0.287096774,,,,